timedelta,user_id,f0,intensity,jitter,log_energy,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,onset_strength,poly_features_0,poly_features_1,shimmer,spectral_bandwidth,spectral_centroid,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_flatness,spectral_rolloff,zero_crossing_rate,gaze_on,nod_no,nod_yes,prob_face_anger,prob_face_contempt,prob_face_disgust,prob_face_fear,prob_face_happiness,prob_face_neutral,prob_face_sadness,prob_face_surprise,smile,is_speaking
00:00:00,5b5e7e643bac1d0001f9bf28,,0.0,,-107.73593119855173,-494.21512,,,,,,,,,,,,,,,,,,,,,,,,,,9.085033987410384,9.085033987410384,9.085033987410384,9.085033987410384,9.085033987410384,9.085033987410384,9.085033987410384,1.0000007,,,,,,,,,,,,,,,False
00:00:00,5f51530ebc50f53857d60824,,0.0,,-123.20773359156378,-496.16312,,,,,,,,,,,,,,,,,,,,,,,,,,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,1.0000007,,,,,,,,,,,,,,,False
00:00:01,5b5e7e643bac1d0001f9bf28,,0.4786890969248998,,-66.87829237144646,-306.1677,98.6661,-6.6745076,1.7747358,-1.0201738,-2.1601489,2.5438402,-5.3376980000000005,5.9188304,-10.822661,12.423172000000001,-9.483727,-22.073183,56.462233999999995,-35.757690000000004,46.262485999999996,-28.284771000000003,28.388440999999997,-18.11841,11.935243,2.6634102000000004,-0.00025745648204118636,5.228223272034655,,5024.551429406724,6331.476537136648,8.836950155644288,8.602870578562786,9.313867959098447,10.448003158330877,11.748960932315953,11.435106128266494,28.403625689920936,0.55183494,12415.251358695652,0.22395125679347827,,,,,,,,,,,,,False
00:00:01,5f51530ebc50f53857d60824,,0.0,,-123.20773359156378,-496.16312,,,,,,,,,,,,,,,,,,,,,,,,,,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,1.0000007,,,,,,,,,,,,,,,False
00:00:02,5b5e7e643bac1d0001f9bf28,,0.6857101117996701,,-17.755374013382895,-66.62601,93.83247,-5.522851,-3.9438236000000004,-3.1563554,-1.8382894,0.020730365,-4.3285545999999995,5.424987000000001,-7.9612229999999995,12.697797999999999,-10.90851,-26.065859,57.091637,-32.943455,44.57245,-28.494034000000003,28.061609999999998,-15.589445000000001,12.510908,1.5419877,-0.0002503499481347189,5.109388330597602,,4844.401049533292,6127.196472039886,8.642590307153895,8.569979629632575,10.58970470035271,12.706112452711402,15.20389961792289,14.923849110988815,53.70090749768483,0.0009084336300000001,11773.359375,0.234326171875,,,,,,,,,,,,,False
00:00:02,5f51530ebc50f53857d60824,,0.0,,-123.20773359156378,-496.16312,,,,,,,,,,,,,,,,,,,,,,,,,,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,1.0000007,,,,,,,,,,,,,,,False
00:00:03,5b5e7e643bac1d0001f9bf28,,0.6843244264871194,,-19.273864026868523,-83.11189,99.150734,-3.5710397000000005,-1.6953747,-3.289484,-2.046579,2.6403806,-7.36405,3.3310574999999996,-9.411624,10.577709,-10.604733999999999,-21.054653,50.726504999999996,-30.666484999999998,41.180004,-26.446803999999997,27.988413,-14.602984,16.347853,1.7252188000000002,-0.0002126333180497592,4.247507942142118,,4981.34067509261,5838.239218751458,9.733652217479953,7.74413494521233,10.527725868783932,13.384024260569392,15.625530973022384,14.979748252679338,51.89342764454221,0.0009390780499999999,12090.703125,0.20486328125,0.0,1.0,1.0,0.06980575428578567,0.009717227149743336,0.01535909582983611,0.024683101057000688,0.6852757011760209,0.11466784828965285,0.045473555048664835,0.03501769751481758,1.0,False
00:00:03,5f51530ebc50f53857d60824,,0.0,,-123.20773359156378,-496.16312,,,,,,,,,,,,,,,,,,,,,,,,,,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,1.0000007,,,,,,,,,,,,,,,False
00:00:04,5b5e7e643bac1d0001f9bf28,92.31538025664551,0.6559426879953782,0.018809459490366952,-20.42349394979388,-112.035645,93.52207,-3.4075480000000002,2.4944827999999997,0.31630698,-1.8754528000000001,0.54833335,-2.9320784,7.2487639999999995,-7.4229035,11.170345,-9.660955,-14.38284,52.267406,-25.534000000000002,38.75326,-23.726135,25.638987,-16.180892999999998,13.436985,1.7933245999999998,-0.00020555353868349956,4.104344990646618,34.940628796176554,4891.7947418567155,5483.777476629986,11.395049157148815,8.565450075014581,10.850240723367738,13.236091818332493,14.580845197480205,14.700983165757801,49.56584679542257,0.0007892939599999999,11444.296875,0.17608449835526316,0.0,0.0,0.0,0.06923484678069751,0.004545646021142602,0.005561772578706344,0.017939002253115174,0.007174260759105285,0.6551056901613871,0.10625905046860376,0.13417975356181466,0.0,False
00:00:04,5f51530ebc50f53857d60824,,0.0,,-123.20773359156378,-496.16312,,,,,,,,,,,,,,,,,,,,,,,,,,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,9.370344240053647,1.0000007,,,,,,,,,,,,,,,False
