timedelta,user_id,f0,intensity,jitter,log_energy,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,onset_strength,poly_features_0,poly_features_1,shimmer,spectral_bandwidth,spectral_centroid,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_flatness,spectral_rolloff,zero_crossing_rate,gaze_on,nod_no,nod_yes,prob_face_anger,prob_face_contempt,prob_face_disgust,prob_face_fear,prob_face_happiness,prob_face_neutral,prob_face_sadness,prob_face_surprise,smile,is_speaking
00:00:00,587418895c17910001ea4e75,,0.0,,-105.61919152815807,-486.92148,,,,,,,,,,,,,,,,,,,,,,,,,,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,1.0000007,,,,,,,,,,,,,,,False
00:00:00,5dd4767b32288646716dc98a,,0.7287778861349913,,-60.92972557345809,-360.1987,45.10003,-3.4813654,-6.687081,4.8956294,3.2457032000000003,-6.868984700000001,-1.295236,-10.1692915,-3.8492904,-0.6439798000000001,-2.391238,-52.468596999999995,73.19960999999999,-33.194305,-28.936277,5.8363557,-10.708253,-4.514373,-11.177401,2.6207778,-0.00011932512966901145,2.269804479476251,,2730.988390977765,5090.790055124712,11.55005154413373,10.362626700573994,11.271509171829774,13.829507650410607,15.731180008308014,15.446793952086622,33.230891284065606,0.38522506,7807.333669354839,0.17747448336693547,1.0,0.0,0.0,0.19859475195407866,0.01527226809412241,0.04309834875166416,0.01713301269337535,0.11496139541268348,0.5095072090625763,0.0877485416829586,0.013684486877173186,0.0,False
00:00:01,587418895c17910001ea4e75,,0.0,,-105.61919152815807,-486.92148,,,,,,,,,,,,,,,,,,,,,,,,,,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,1.0000007,,,,,,,,,,,,,,,False
00:00:01,5dd4767b32288646716dc98a,261.6171574915564,0.6359974444776466,3.4168427692514243,-32.71886728664663,-297.3853,49.510082000000004,-2.670196,0.45426120000000003,1.385175,-2.0921385,-2.2022984,2.7373517000000005,-1.3477611999999999,-1.5598607,1.794157,-6.95363,-50.075474,38.047047,-27.854174,-11.49964,-4.369426,-29.729094,-8.543588,-3.7421887000000003,2.1253903,-7.671276286554315e-05,1.4686175349179815,4.84509016891717,2962.7411720197083,4740.323595938686,10.949956826267483,10.17383732637593,12.263030886551206,14.955906182243636,15.648625454004605,17.584002890220507,45.08640125035014,0.0013503638,7691.71875,0.1725341796875,0.0,0.0,0.0,0.1199724331498146,0.002263163286261261,0.030558408983051774,0.09918420370668173,0.009353103674948215,0.4117231458425522,0.2312699764966965,0.09567558243870736,0.0,False
00:00:02,587418895c17910001ea4e75,,0.0,,-105.61919152815807,-486.92148,,,,,,,,,,,,,,,,,,,,,,,,,,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,1.0000007,,,,,,,,,,,,,,,False
00:00:02,5dd4767b32288646716dc98a,350.9667597766614,0.5049996055394753,6.725545466664138,-31.04950778482348,-295.4047,32.730732,-6.6481304,-2.2272133999999997,-1.9245866999999999,-3.7759137000000003,-3.1197484,-0.22638384,-1.6055993,-4.657813,-1.8922018,-6.949838000000001,-66.02731,38.752884,-39.4862,-13.788772,6.9647326000000005,-27.656406,-4.1356883,0.602875,2.4610813,-6.74645000750175e-05,1.339393865605964,60.53036195877987,2696.955337636703,5352.64709906001,9.806207058484773,9.40295703176166,12.000426784090482,14.272678321306872,16.107223455699344,18.848680288315197,47.4584568626119,0.0010172048,7841.25,0.2021875,0.0,0.0,1.0,0.21455932259559632,0.005751022323966026,0.035106654278933995,0.02696344330906868,0.013376104645431042,0.4943124413490295,0.19240912199020385,0.01752186454832554,0.0,False
00:00:03,587418895c17910001ea4e75,,0.0,,-105.61919152815807,-486.92148,,,,,,,,,,,,,,,,,,,,,,,,,,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,1.0000007,,,,,,,,,,,,,,,False
00:00:03,5dd4767b32288646716dc98a,,0.4900918445735755,,-36.454155586274474,-325.53815,42.120712,-9.609136999999999,-4.8073773,-1.4997605,-10.539263,-6.801311500000001,-2.3946732999999996,-4.867675299999999,-2.6744442000000004,-2.3991740000000004,-7.02291,-49.035328,35.595337,-20.223236,-17.85996,1.9627674,-22.277357000000002,-2.0889485,7.290205,1.9812549,-5.042111601047217e-05,0.9647802269093204,,2878.271598963341,4876.813917953878,10.70496974498389,10.061235321328438,12.120614046643725,15.320914574250612,16.555478141418984,18.847656734938944,43.947387864383934,0.0017710835,7373.671875,0.1798095703125,0.0,0.0,1.0,0.304632431268692,0.0025611067656427624,0.07150492370128632,0.050268156826496116,0.0023683264618739484,0.32729225754737856,0.21437507271766665,0.026997713372111317,0.0,False
00:00:04,587418895c17910001ea4e75,,0.0,,-105.61919152815807,-486.92148,,,,,,,,,,,,,,,,,,,,,,,,,,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,11.90310585302215,1.0000007,,,,,,,,,,,,,,,False
00:00:04,5dd4767b32288646716dc98a,,0.6225832460146594,,-29.904562065416282,-290.05127000000005,21.530495000000002,-7.5113635,1.6019839,2.5086443,-3.6653879000000003,0.70108044,-0.118491046,-2.721177,-0.00453815,-0.8510314,-3.1769366000000003,-85.433685,41.407047,-41.052765,-24.142607,9.032789,-23.738820999999998,-0.5529699,3.6245224,2.2592652,-8.558816720857523e-05,1.6407465641471597,,2369.514263749754,5476.303162805224,9.411876034786726,9.587422250323351,12.705763347401062,13.862777285979355,17.010363503244797,17.629370770829265,49.42547012370815,0.00081270357,7529.296875,0.2179443359375,0.0,0.0,0.0,0.24073365330696106,0.001551255362574011,0.05476983711123466,0.09089625775814056,0.001095486443955451,0.2895595580339432,0.21765221208333968,0.10374172069132327,0.0,False
