timedelta,user_id,f0,intensity,jitter,log_energy,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,onset_strength,poly_features_0,poly_features_1,shimmer,spectral_bandwidth,spectral_centroid,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_flatness,spectral_rolloff,zero_crossing_rate,gaze_on,nod_no,nod_yes,prob_face_anger,prob_face_contempt,prob_face_disgust,prob_face_fear,prob_face_happiness,prob_face_neutral,prob_face_sadness,prob_face_surprise,smile,is_speaking
00:00:00,5dd8cb39dba6348743ec0915,,0.4907470600301752,,-81.31630896325716,-468.82468,70.85865,4.591812,2.1920972,-0.08543772,-0.29404667,-3.9188633000000004,-2.1464455,-3.6106305,-5.2467594,-4.681493,-4.3787655999999995,43.347159999999995,19.049837,1.4910461000000002,6.379674,1.8587271,4.463836,3.6385462,-2.9225545,0.87717044,-4.6669831862630784e-06,0.08207587959997811,,3257.65367543338,3120.9904137783974,8.863925081772807,9.722156785806536,9.426838187918587,11.214140497798601,12.544955544354426,12.154985966612115,20.489060758737548,0.48055714,6336.084905660377,0.07095739976415094,0.0,1.0,0.0,0.03288508662060924,0.006188168841069692,0.0024434937108770553,0.032054190498406764,0.7517102108375259,0.109216705679077,0.012677579394171705,0.05282456800341606,1.0,False
00:00:00,5e3ac9d20d41ad2da023d9ae,,0.0,,-106.64821409739666,-494.98022000000003,,,,,,,,,,,,,,,,,,,,,,,,,,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,1.0000007,,,,,,,,,,,,,,,False
00:00:01,5dd8cb39dba6348743ec0915,200.23894684389683,0.7353255439337587,13.86015226894025,-52.720469066122895,-439.64597000000003,72.00884,2.1182689999999997,1.9622846999999999,-1.008867,-5.0542192,-4.449266000000001,-0.48461579999999993,-1.1078413999999999,-4.542168599999999,-5.509229,-5.309351400000001,32.811115,16.537159,8.781807,2.1627657000000005,4.2573447,5.625099700000001,1.6098801999999999,0.5157449000000001,0.9201071,-5.1603144753244785e-06,0.08628690595114487,9.994702212704,2955.5064061985827,1889.2988258834146,11.269444985607006,8.992203422811615,10.740117262081537,13.000959879616056,16.200426192756797,14.928449537348774,26.39672812697298,0.00040466653,4197.890625,0.029100501019021736,0.0,0.0,0.0,0.09512963145971297,0.0012825739104300735,0.004760102834552527,0.14773887395858765,0.15705755352973938,0.442552775144577,0.056718837469816215,0.09475966542959212,0.0,False
00:00:01,5e3ac9d20d41ad2da023d9ae,,0.0,,-106.64821409739666,-494.98022000000003,,,,,,,,,,,,,,,,,,,,,,,,,,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,1.0000007,,,,,,,,,,,,,,,False
00:00:02,5dd8cb39dba6348743ec0915,,0.6705585438176803,,-50.241059118287275,-411.63562,56.150830000000006,-0.13244532,-0.13051999,0.8338896,-1.4016113000000001,-2.4274970000000002,-3.7558562999999996,-5.884071400000001,-2.7430346,-3.267791,-6.8931026,-10.138608999999999,12.404032,13.986007999999998,2.5766337000000004,6.120596,4.565716,-0.029196799,-0.035044204,1.3165935,-2.5421371211513838e-05,0.4441225266223289,,3066.787228430202,2949.36237939795,11.247123272299962,10.323823392028963,10.72895668585637,12.896637954852507,14.419284890803649,16.113560900382073,30.445710000551426,0.0015079681,5673.28125,0.0764453125,0.0,0.0,0.0,,,,,,,,,0.0,False
00:00:02,5e3ac9d20d41ad2da023d9ae,,0.0,,-106.64821409739666,-494.98022000000003,,,,,,,,,,,,,,,,,,,,,,,,,,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,1.0000007,,,,,,,,,,,,,,,False
00:00:03,5dd8cb39dba6348743ec0915,,0.5596202668042594,,-61.643462178313676,-464.22754000000003,27.122244,0.6921288000000001,-0.12857239,0.79322577,-1.5571728999999999,-2.7739859,-2.090872,-3.9391866,-4.4834347,-3.8778334,-4.533818,0.64088094,8.569449,4.758996499999999,0.9030706000000001,5.3066792000000005,2.7685559,1.1187785,2.4692380000000003,0.78298366,-9.167422938104108e-06,0.16501815501398834,,4018.571221019741,3545.5241118781,11.812484138428085,12.467523317384696,9.427988767001528,12.697157740142512,13.518747701692929,13.882127211888507,25.738118234503364,0.0076865195,7079.0625,0.07056640625,0.0,1.0,1.0,0.08347310870885849,0.010933793149888515,0.010832933709025385,0.012698272243142128,0.6632083058357239,0.18067900836467746,0.022022964432835582,0.016151735559105873,1.0,False
00:00:03,5e3ac9d20d41ad2da023d9ae,,0.0,,-106.64821409739666,-494.98022000000003,,,,,,,,,,,,,,,,,,,,,,,,,,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,1.0000007,,,,,,,,,,,,,,,False
00:00:04,5dd8cb39dba6348743ec0915,,0.8394727121388732,,-59.42068536183359,-488.58664000000005,19.510735,0.69964033,-0.82210404,-2.1426208,-3.2831197,-4.4658484000000005,-5.697472599999999,-6.759517999999999,-7.5129924,-7.813935799999999,-7.566419000000001,17.844832999999998,15.692804999999998,13.217942,10.734828,8.557738,6.494003,4.35884,2.3881593,0.2184529,-1.0991465751133316e-06,0.01848947655881061,,3620.7527426651923,2318.9397823216627,13.255274594221024,12.102717875104425,10.261893391026225,12.6944880885876,14.641223883754526,15.286387691979758,22.60279699491005,0.001572812,5050.3125,0.03154296875,0.0,0.0,0.0,0.027106782421469692,0.01799755124375224,0.0043624904938042155,0.006777883507311344,0.4907991588115692,0.4017090648412705,0.020703210029751062,0.030543848872184757,1.0,False
00:00:04,5e3ac9d20d41ad2da023d9ae,,0.0,,-106.64821409739666,-494.98022000000003,,,,,,,,,,,,,,,,,,,,,,,,,,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,9.682595537993594,1.0000007,,,,,,,,,,,,,,,False
