timedelta,user_id,f0,intensity,jitter,log_energy,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,onset_strength,poly_features_0,poly_features_1,shimmer,spectral_bandwidth,spectral_centroid,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_flatness,spectral_rolloff,zero_crossing_rate,gaze_on,nod_no,nod_yes,prob_face_anger,prob_face_contempt,prob_face_disgust,prob_face_fear,prob_face_happiness,prob_face_neutral,prob_face_sadness,prob_face_surprise,smile,is_speaking
00:00:00,5bdc94f819b9ba000157da85,,0.0,,-149.49404461499628,-503.95078,,,,,,,,,,,,,,,,,,,,,,,,,,7.7244658762141425,7.7244658762141425,7.7244658762141425,7.7244658762141425,7.7244658762141425,7.7244658762141425,7.7244658762141425,1.0000007,,,,,,,,,,,,,,,False
00:00:00,5e63912d08c2ef10e6a85688,,0.0,,-122.20540016989963,-488.3646,,,,,,,,,,,,,,,,,,,,,,,,,,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,1.0000007,,,,,,,,,,,,,,,False
00:00:01,5bdc94f819b9ba000157da85,,0.9343147090646328,,-113.00055772468572,-503.16003,2.350818,-2.0171639999999997,-2.273715,-2.3791162999999997,-2.3273356,-2.1228938,-1.7804848999999998,-1.3239142,-0.7844185,-0.19850324,0.3945681,2.1155909999999998,1.7411095,1.2524617,0.682345,0.06884381,-0.5471556,-1.1247340000000001,-1.6257018,0.018134017,-6.197223054595679e-08,0.0011958584377089346,,7087.628978403399,5576.678942373911,8.881603597426999,15.865155679265019,10.837363448068807,10.602289961456547,10.587343125124304,10.598367665936763,11.284477169862758,0.5139825,15187.978316326533,0.014748086734693876,,,,,,,,,,,,,False
00:00:01,5e63912d08c2ef10e6a85688,,0.0,,-122.20540016989963,-488.3646,,,,,,,,,,,,,,,,,,,,,,,,,,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,1.0000007,,,,,,,,,,,,,,,False
00:00:02,5bdc94f819b9ba000157da85,,0.9883845870223732,,-136.0771871615544,-503.93057000000005,0.3454491,-0.30182108,-0.34056538,-0.35681605,-0.3495006,-0.31910140000000004,-0.26762646,-0.1984781,-0.11621604,-0.026280722000000003,0.065390356,0.31083566,0.25569242,0.18366134,0.09950025,0.008767279000000001,-0.08254473,-0.16840479,-0.24314241,0.0015130043,-2.390471775687017e-08,0.000493021881214764,,6732.350209529611,6622.501710735127,7.9891257601065,10.270779508239883,8.630236284137643,9.43158548226701,9.94892411736666,9.248708274621153,9.483804124792004,0.77998614,15208.984375,0.013448079427083334,,,,,,,,,,,,,False
00:00:02,5e63912d08c2ef10e6a85688,,0.0,,-122.20540016989963,-488.3646,,,,,,,,,,,,,,,,,,,,,,,,,,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,1.0000007,,,,,,,,,,,,,,,False
00:00:03,5bdc94f819b9ba000157da85,,0.4401505736638245,,-64.05813545230461,-421.4182,80.16879,-1.8789089,-7.240052,-0.11737549,-0.84183407,-3.1922984,-1.6295636,-3.7439815999999997,-2.3447014999999998,-1.7492491000000001,-5.3693953,-16.737448,14.02255,5.5464519999999995,-12.906216,8.761877,1.2154094,-8.060567,3.2508937999999996,1.7401798,-3.538964811857785e-05,0.6038751754107635,,4670.091397827161,3621.297181486296,17.008556931626096,9.227774317797387,10.475088586042755,14.026003226413126,15.232323841333974,14.368068950464375,22.12629742759062,0.02749384,8116.875,0.0319921875,1.0,0.0,0.0,0.01981954201690706,0.004970932947745656,0.003385743395626253,0.035178731506069504,0.4203428779820017,0.312010970770144,0.14131954852856846,0.06297163588597494,0.0,False
00:00:03,5e63912d08c2ef10e6a85688,,0.0,,-122.20540016989963,-488.3646,,,,,,,,,,,,,,,,,,,,,,,,,,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,1.0000007,,,,,,,,,,,,,,,False
00:00:04,5bdc94f819b9ba000157da85,136.6903680768815,0.5803000722953522,22.585675865036148,-48.19437299796093,-376.34997999999996,91.26299,3.0794919999999997,-5.5663686,-0.8515539000000001,-1.3817121,-8.825906,-7.290800999999999,-4.3473370000000005,-4.172637,-5.976399,-6.746071000000001,-16.31393,17.378117,-0.69859844,-21.772195999999997,6.498703,1.9927421000000003,-6.375344,6.147354,1.9897467,-5.2562761724713974e-05,0.9207944802515646,12.48186001278347,2959.692401985642,3059.796788148763,15.58406761950463,9.374206921690224,10.552699455961529,13.887738227820845,14.755760572386816,16.97949873056824,29.69752339566467,0.01518861,5843.203125,0.0848974609375,1.0,0.0,0.0,0.026030252873897552,0.0011371678556315599,0.0018111496348865328,0.11702323406934738,0.017613046057522296,0.433517736196518,0.08587587401270866,0.31699155569076537,0.0,False
00:00:04,5e63912d08c2ef10e6a85688,,0.0,,-122.20540016989963,-488.3646,,,,,,,,,,,,,,,,,,,,,,,,,,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,10.680225033068835,1.0000007,,,,,,,,,,,,,,,False
